"OBJECTID_1"	"INCIDENT_ID"	"OFFENSE_ID"	"OFFENSE_CODE"	"OFFENSE_CODE_EXTENSION"	"OFFENSE_TYPE_ID"	"OFFENSE_CATEGORY_ID"	"FIRST_OCCURENCE_DATE"	"LAST_OCCURENCE_DATE"	"REPORTED_DATE"	"INCIDENT_ADDRESS"	"GEO_X"	"GEO_Y"	"GEO_LON"	"GEO_LAT"	"DISTRICT_ID"	"PRECINCT_ID"	"NEIGHBORHOOD_ID"	"BICYCLE_IND"	"PEDESTRIAN_IND"
121472	2017442384	201744238454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-05 14:00:00"	""	"2017-07-05 15:13:00"	"W 6TH AVE / N LOWELL BLVD"	3130765	1689413	-105.035107	39.725323	4	411	"Barnum"	0	0
121473	2017442447	201744244754410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-05 14:25:00"	""	"2017-07-05 15:37:00"	"N GRANT ST / E 17TH AVE"	3145218	1696029	-104.9835913	39.7432709	6	621	"North Capitol Hill"	0	1
121474	2017442592	201744259254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-05 15:32:00"	""	"2017-07-05 15:32:00"	"N COLORADO BLVD / E 8TH AVE"	3157312	1690985	-104.9406954	39.7292277	2	213	"Congress Park"	0	0
121475	2017442640	201744264054010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-05 13:10:00"	""	"2017-07-06 12:53:00.000001"	"610 26TH ST"	3146313	1699934	-104.9796179	39.7539737	2	211	"Five Points"	0	0
121476	2017503602	201750360254010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-30 02:40:00"	""	"2017-07-30 03:02:00"	"2345 W ALAMEDA AVE"	3136478	1684414	-105.0148915	39.7115177	4	411	"Valverde"	0	0
121477	2017504122	201750412254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-30 11:25:00"	""	"2017-07-30 13:03:00"	"S WADSWORTH BLVD / W STANFORD AVE"	3117783	1656491	-105.0817984	39.6351171	4	423	"Marston"	0	0
121478	2017504386	201750438654410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-30 13:57:00.000001"	""	"2017-07-30 14:24:00"	"E MLK BLVD / N QUEBEC ST"	3167708	1702779	-104.9034593	39.7614226	2	221	"North Park Hill"	0	0
121479	2017504630	201750463054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-30 16:17:00"	""	"2017-07-30 16:45:00"	"W 8TH AVE / N ACOMA ST"	3143765	1690855	-104.9888617	39.7290899	6	611	"Civic Center"	0	0
121480	2017504765	201750476554010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-30 17:21:00"	""	"2017-07-30 17:21:00"	"10150 E VIRGINIA AVE"	3177433	1682963	-104.8693577	39.706844	3	321	"Windsor"	0	0
121481	2017505110	201750511054010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-30 20:00:00"	""	"2017-07-30 20:42:00.000001"	"600 BLOCK E COLFAX AVE"	3146300	1694801	-104.9797687	39.7398829	6	623	"Capitol Hill"	0	0
121482	2017505272	201750527254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-30 21:24:00.000001"	""	"2017-07-30 22:44:00"	"E 1ST AVE / N PENNSYLVANIA ST"	3145876	1686947	-104.9814358	39.7183288	3	311	"Speer"	0	0
121483	2017505784	201750578454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-31 03:28:00"	""	"2017-07-31 03:28:00"	"3900 BLOCK W 14TH AVE"	3129721	1694172	-105.0387326	39.738402	1	122	"West Colfax"	0	0
121484	2017506054	201750605454410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-31 07:54:00.000001"	""	"2017-07-31 07:54:00.000001"	"N PEORIA ST / E ALBROOK DR"	3183522	1710525	-104.8470124	39.7823878	5	511	"Montbello"	0	0
121485	2017506365	201750636554010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-30 20:30:00"	""	"2017-07-31 10:25:00.000001"	"2380 S COLORADO BLVD"	3157562	1670712	-104.9402507	39.6735698	3	313	"University Hills"	0	0
121486	2017506485	201750648554410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-31 11:10:00.000001"	""	"2017-07-31 11:43:00"	"I25 HWYNB / W ALAMEDA AVE"	3140977	1684324	-104.998902	39.7112036	3	311	"Baker"	0	0
121487	2017444472	201744447254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 09:54:00"	""	"2017-07-06 09:54:00"	"I70 HWYWB / N WASHINGTON ST"	3146388	1709297	-104.9791603	39.7796753	1	112	"Globeville"	0	0
121488	2017444568	201744456854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 10:34:00"	""	"2017-07-06 11:00:00"	"S SANTA FE DR / I25 HWYNB"	3141677	1682885	-104.9964423	39.7072426	3	311	"Baker"	0	0
